Year,country,production_tons,avg_temp,coffee_price
1996,Brazil,1369196.0,24.55,116.32585365853657
1997,Brazil,1228513.0,24.87,197.0636693548387
1998,Brazil,1689366.0,25.35,141.4101219512195
1999,Brazil,1631852.0,24.58,101.29044715447155
2000,Brazil,1903562.0,24.47,90.32875502008032
2001,Brazil,1819569.0,24.79,51.02611336032389
2002,Brazil,2610524.0,25.2,44.31736
2003,Brazil,1987074.0,24.98,56.70228
2004,Brazil,2465710.0,24.85,74.41976
2005,Brazil,2140169.0,25.17,115.14739999999999
2006,Brazil,2573368.0,24.94,114.76185483870967
2007,Brazil,2249011.0,25.14,129.76084677419354
2008,Brazil,2796927.0,24.79,144.5566533864542
2009,Brazil,2440056.0,25.01,133.46016194331986
2010,Brazil,2907265.0,25.33,177.19534136546184
2011,Brazil,2700540.0,24.9,296.37952
2012,Brazil,3037534.0,25.17,201.7612449799197
2013,Brazil,2964538.0,25.06,134.78466135458166
2014,Brazil,2804070.0,25.17,177.97450199203186
2015,Brazil,2647504.0,25.69,137.20209677419356
2016,Brazil,3024466.0,25.57,142.98311999999999
2017,Brazil,2684508.0,25.39,146.0338306451613
2018,Brazil,3552729.0,25.1,120.15818548387097
2019,Brazil,3011745.0,25.53,107.55107569721116
2020,Brazil,3705719.0,25.2,105.74269076305221
2021,Brazil,2985581.0,24.98,178.07815261044178
2022,Brazil,3179176.0,24.8,244.55295999999998
2023,Brazil,3405267.0,25.55,190.56842741935483
1996,Colombia,671401.0,23.2,131.48166666666665
1997,Colombia,642239.0,23.75,201.14333333333335
1998,Colombia,766980.0,23.96,146.2225
1999,Colombia,546720.0,23.09,119.1225
2000,Colombia,637140.0,23.28,102.29083333333334
2001,Colombia,656160.0,23.48,71.00583333333333
2002,Colombia,696840.0,23.73,64.38802099334359
2003,Colombia,694080.0,23.73,65.45819962877623
2004,Colombia,674400.0,23.79,81.07968146706217
2005,Colombia,667140.0,24.0,115.95755030721968
2006,Colombia,724740.0,23.81,116.8090838453661
2007,Colombia,757080.0,23.91,125.61900550435227
2008,Colombia,688680.0,23.74,144.5716620009887
2009,Colombia,468720.0,24.02,176.592817844342
2010,Colombia,535380.0,24.27,224.59315072964674
2011,Colombia,468540.0,23.87,284.30855497951865
2012,Colombia,462000.0,23.88,203.18795269435176
2013,Colombia,653160.0,24.04,148.42616359447004
2014,Colombia,728400.0,24.18,197.07282661290324
2015,Colombia,827750.0,24.41,152.37846345366103
2016,Colombia,818243.0,24.54,160.91870967741937
2017,Colombia,851640.0,24.28,152.6796285202253
2018,Colombia,813420.0,24.1,137.15319322836663
2019,Colombia,885120.0,24.38,133.1928966751263
2020,Colombia,833400.0,24.52,158.25102988531935
2021,Colombia,560340.0,24.09,218.17
2022,Colombia,665015.95,23.94,279.92
2023,Colombia,680857.67,24.67,209.1181927710843
1996,Indonesia,421751.0,24.87,81.95509745749419
1997,Indonesia,426800.0,25.06,78.67279161961225
1998,Indonesia,512165.0,25.47,82.72481124913735
1999,Indonesia,524687.0,24.82,67.64590567946549
2000,Indonesia,554574.0,24.86,41.5581636708702
2001,Indonesia,569234.0,24.96,27.585614350021952
2002,Indonesia,682019.0,25.11,29.991422681786815
2003,Indonesia,663571.0,25.08,36.916231962481966
2004,Indonesia,647385.0,25.07,35.97293009285401
2005,Indonesia,640365.0,25.15,50.56149145178494
2006,Indonesia,682158.0,25.13,67.57924198506807
2007,Indonesia,676475.0,25.13,86.63684072087334
2008,Indonesia,698016.0,24.95,105.19651573185264
2009,Indonesia,682591.0,25.32,74.5440376356735
2010,Indonesia,684076.0,25.45,78.73102976190475
2011,Indonesia,638600.0,25.13,109.23836603613779
2012,Indonesia,691163.0,25.2,102.84350884622616
2013,Indonesia,675800.0,25.32,94.11776278311056
2014,Indonesia,643900.0,25.37,100.41939517849299
2015,Indonesia,639412.0,25.48,88.03652693079867
2016,Indonesia,639305.0,25.79,88.61685990338164
2017,Indonesia,717962.0,25.46,100.959652056277
2018,Indonesia,756051.0,25.46,84.77463826933935
2019,Indonesia,752512.0,25.59,73.5653758548215
2020,Indonesia,762380.0,25.69,68.75569914204154
2021,Indonesia,786191.0,25.5,89.8243220951753
2022,Indonesia,774960.53,25.45,103.62980173630733
2023,Indonesia,760192.2,25.76,119.12705901405359
